Brand Name,ENERGY(kcal),PROTEIN,CARBOHYDRATE,ADDED SUGARS,TOTAL SUGARS,TOTAL FAT,SATURATED FAT,TRANS FAT,CHOLESTEROL(mg),SODIUM(mg),Dietary Fiber,Mono Unsaturated Fatty Acids,Poly Unsaturated Fatty Acids
Parle-G Original Gluco Biscuit,454,6.9,77.3,25,25.5,13,6,0,0,296,,,
Parle-G Gold Biscuits,462,6.7,76,26.9,27.7,14.6,6.8,0,0,281,,,
Parle-G Royale,464,6.5,74.5,26.5,27.3,15.5,7.2,0,0,268,,,
Parle-G Chhota Bheem,453,7,77.3,,24.8,12.9,6,0,0,210,,,
Parle-G oats & berries,445,7.2,78.8,24.6,25.6,11.2,5,0,0,303,,,
Parle 20-20 Cashew Cookies,495,7,69.1,22.6,23.5,21.2,9.5,0,0.5,183.6,,,
Parle 20-20 Butter Cookies,491,6.5,70.3,23.2,24.1,20.4,9.5,0,0.5,201.8,,,
Parle 20-20 Nice,478,6.5,72.8,24.6,25.2,17.9,9.6,0,0,243,,,
Parle 20-20 Gold Cashew Cookies,500,6.9,68,22.5,23.1,22.3,9.7,0,0,249,,,
Parle 20-20 Gold CashewAlmond Cookies,501,6.9,67.8,22.6,23.1,22.5,9.7,0,0,249,,,
Parle KrackJack THE ORIGINAL Sweet & Salty Crackers,489,6.8,70.5,19.1,19.6,19.9,9.4,0,0,371,,,
Parle KrackJack Butter Masala,505,7,67,12.2,12.7,23.2,11.1,0,2.2,509,,,
Parle KrackJack Jeera,482,7.5,72.5,16.7,17.3,18,8.5,0,0,739,,7.5,2
Parle Monaco Classic Regular,492,7.9,68.8,7.8,8.4,20.6,9.7,0,0,891,,,
Parle Monaco Biscuits - Jeffs Jeera,499,7.5,67.7,7.3,8.4,21.9,10.5,0,1,904,,,
"Parle Monaco Biscuit - Zeera, Crispy, Light, Salty Snack",494,8,68.1,7.6,8.2,21.1,9.8,0,0,943,,,
Parle Magix Creme Orange,466,5.5,76.6,34.1,34.4,15.3,7.1,0,0,233,,,
Parle Fab Bourbon Cream Biscuits - Chocolate,467,5.1,76.4,41.3,41.5,15.7,7.7,0,0,102,,,
Parle Fab Chocolate Creme Sandwich Biscuits,474,5.3,74.8,40.5,40.7,17.1,8.4,0,0,177,,,
Parle Fab Jam - In Cream Biscuits,462,4.8,77.7,37.5,38.1,14.7,6.7,0,0,177,,,
Parle Milk Shakti,462,7.3,75.3,23.3,24.5,14.7,6.8,0,0.6,261,,,
Parle Marie Biscuits,451,7.7,77.7,20,20.5,12.4,5.7,0,0,231,,,
Parle Monaco Cheeslings Clasic,492,8.8,67.7,,3.5,20.7,9.6,0,0,,,,
Parle Bakesmith Arovita Thin Arrowroot Biscuit ,449,7.9,77.3,,21.1,12,5.6,0,0,,,,
Parle Platina Hide & Seek Milano Collections Chocolate Chip Biscuits,518,4.4,67,30.2,31.5,25.8,13.4,0,3.9,192,,,
Parle Platina Hide & Seek Milano Collections Finest Choco Filled Biscuits,520,4.8,64.8,37.2,37.3,26.9,12.3,0,0,109,,,
Parle Platina Hide & Seek Choco Chip Cookies With Chocolate & Almonds,496,6.3,69.5,,28.9,21.4,9.6,0,,,,,
Parle Platina Hide & Seek Chocolate Flavoured Choco Chip Creme Sandwiches,497,5.1,70.5,37.5,37.6,21.6,11.9,0,0,142,,,
Parle Platina Hide & Seek Orange Flavoured Choco Chip Creme Sandwiches,500,4.5,70.4,39.5,39.7,22.3,12.1,0,0,142,,,
Parle Platina Hide & Seek Vanilla Flavoured Choco Chip Sandwich Biscuits,500,4.5,70.4,39.6,39.8,22.3,12.1,0,0,142,,,
Parle Platina Hide & Seek Caffe Mocha Coffee Flavoured Biscuits,478,5.8,73.6,31.7,32,17.8,9.2,9,0,142,,,
Parle Platina Hide & Seek Choco Rolls,512,4.5,67,,38.3,25.1,11.7,0.12,,,,,
Parle Platina Nutricrunch Digestive Marie Biscuit,440,8.3,78.7,,18.6,10.2,4.7,0,0,,6.5,4.5,1
Parle Platina Nutricrunch Biscuit - Honey & Oats,485,6.2,71,,18.7,19.2,8.7,0,0,,6,8.2,1.9
Parle Happy Happy Choco-Chip Cookies,489,5.8,71.3,30.4,30.6,20.1,10.6,0,0,197,,,
Parle Coconut Crunchy Cookies,469,6.5,74.6,25.9,26.2,16.1,8.3,0,0,247,,,
Parle Top Rich Buttery Crackers,50,7.4,66.7,,9.7,23.1,11,0,1.5,,,,
Sunfeast Marie Light,454,9.3,73.5,20,20.8,13.6,7.1,0,0,333.3,,,
Sunfeast Veda Marie Light,440,8,78.5,21.9,25.8,10.5,5.5,0.01,0.1,318.4,,,
Sunfeast Mom's Magic Rich Butter Cookies,499,7.9,67.2,21.6,22.7,22.1,10.1,0.06,0.9,938.3,,,
Sunfeast Farmlite Biscuit Cookies,484,11,63.6,25.3,26.2,21.6,10.1,0,0.2,248.8,4.6,,
Sunfeast Mom's Magic Cashew Almond Cookies,503,7.8,66.4,,22.8,22.9,10.3,0,,,,,
Sunfeast Farmlite - Digestive Biscuit,473,7.7,68.4,13.9,16.3,20.2,10.1,0.07,0.1,451.7,6.2,,
Britannia Vita Marie Gold,448,7.8,7.8,23.5,26.7,11.7,5.7,0,0,248,,4.5,1.3
Britannia Marie Gold Biscuits ,445,8.4,78.9,,21.9,10.7,5.2,0,0,316,,4,1.2
Britannia The Original Bourbon Creme Biscuit,493.5,5,72.7,35.1,37,20.3,10.1,0,0,119,,,
Britannia nutri choice Oats Cookies Orange Almond,488,7,70,,22,20,8.5,0,0,,6,,
Britannia Nice Time - Sugar Showered Coconut Biscuits,463,6,76,,30.5,15,8,0,0,,,,
Sunfeast Bounce Creme Biscuits - Orange,467,6.4,73.4,,38.4,16.5,8.6,0.1,,,,,
Sunfeast Dark Fantasy Choco Fills,507,7.3,61.1,33.9,35.7,27.3,12.7,0.1,0.3,181.5,,,
Sunfeast Marie Light Active Biscuits,445,9.1,77.4,21.1,21.3,11,5.6,0.07,,292.4,,,
Britannia 50-50 Sweet & Salty Biscuits,487,7,72,18.5,19.4,19,9,0,0,458,,,
Britannia JimJam Pops Crunchy Open Cookie,500,5,79.2,31.6,37.3,21.7,12.2,0,0.1,196,,,
Sunfeast Glucose Biscuits,440,7.1,79,27,27.7,10.6,5.3,0,0.1,421.2,,,
Britannia Good Day Cashew Cookies,508,6.6,67.7,20.8,21.1,23.4,11.5,0,3.2,227,,9.1,2.4
Britannia Good Day Butter Cookies,494,7,67,20.7,22,22,11,0,6.5,255,,8.5,2.5
Britannia Good Day Chocochip Cookies,512,6.1,68,31.4,33.4,24,14.1,0,0.2,204,,7.7,1.9
Britannia Good Day Pista Badam Cookies,512,7,67,20.7,22,24,11,0,2,226,,10.2,2.7
Britannia Good Day Chunkies Chocolate Chip Cookies,512,6.8,64,27.8,31.5,25.5,13.7,0,4,536,,9,2.5
Britannia Good Day Butter Jeera Cookies,506,6.4,68.2,20,20.8,23.1,11.5,0,4.2,592,,9,2.4
Britannia Good Day Chunkies Tropical Coconut Cookies,575,6.2,53.8,27.6,28,37.2,24.7,0,13.1,143,,9.6,2.7
Britannia Pure Magic Chocolush Delicilous Choco Filled Cookies,520,4.8,65.9,34.3,36.2,26.3,11.5,0.1,1.2,291,,11.2,3.4
Britannia Good Day Fruit & Nut Cookies,505,6.3,68.2,21.1,27.4,23,11,0,0.03,233,,9.3,3
Britannia Pure Magic Choco Stars Chunky Chocolate Topped Cookie,529,6.3,64.7,25.5,30.6,27.2,15.6,0.1,2,319,,9,2.5
Britannia Pure Magic Choco Creme Biscuits,487,6,73,,37,19,9,0,0,,,7.2,1.8
Britannia Pure Magic Vanilla Creme Biscuits,493,5.3,72.5,,39.6,20.2,10,0.4,0,,,7.4,2.1
Britannia Pure Magic Deuce Milk Choco,499,5,68,,38.5,23,19,0,0,,,2.7,1.2
Britannia Pure Magic Deuce White Choco,498,5,70,,40,22,18,0,0,,,2.7,1.2
Britannia nutri choice Sugar Free Cracker,463,10,72,0,0.5,15,7,0,0,605,,6.2,1.7
Britannia nutri choice Digestive ,481,9.1,68,11.9,13.1,20.9,10.4,0,0,368,,7.9,2.3
Britannia Pure Magic Choco Frames Harry Potter Biscuits,507,5.9,68.8,41.4,41.4,23.1,17.9,0.1,3,336,,2.7,1
Britannia JimJam Naughty Jam,483,5,73,31.8,33.5,19,9.5,0,0,214,,7.2,2.2
Britannia Litle Hearts Classis Crunch,486,7.4,70,23,24,19.5,9.4,0,0,309,,7.8,2.1
Unibic Choco Chip Cookies,480,5.8,68,,29,20.5,12.8,0,0,,,4.8,1.8
Unibic Fruit & Nut Cookies,448.6,6.4,63,20.5,24,19,8.6,0,0,209,,4.3,1.1
Unibic Butter Cookies,509,7.4,65.4,,25.2,24.2,15.4,0,15,170,,6.5,1.3
Unibic Choco Nut Cookies,473,6.5,67,26.5,27,19.9,12.5,0,0,209,,5.2,1.4
Unibic Ginger Nut Cookies,454,5.9,76,,35,14.1,8.2,0,0,170,,3.8,1.1
Unibic Pista Badam Cookies,523,7.8,60,,24.8,28,14,0,3,180,,8,2.1
Unibic Multigrain Breakfast Cookies,435,5.6,61,,26,18.7,8.2,0,0,,12.5,6,1.6
Unibic Doosra Jeera Cookies,490,7.5,65,18.5,19.2,22.6,13,0,0,350,,6.4,1.6
Unibic Honey Oatmeal Cookies,476,6.2,70,34.2,35,19,10.6,0,0,285,,5.9,1.8
Unibic Cashew Badam Cookies,487,5.5,66,24.3,26,22.3,10,0,0,195,,8.1,2
Unibic Finger Cookies Cashew,513,7.7,60,16,17,27,14,0.1,3,126,,10,2.7
Unibic Finger Cookies Almond,517,7.6,61,17,18,27,13,0.1,4,113,,10,2.7
Unibic Choco Kiss Cookies,504,5.3,64.5,35,37,25,12.8,0,0,177,,8.8,2.6
Unibic Snappers Potato Crackers Cream n' Onion,487,7.5,67,13,15,21,10.8,0,0,997,,6.3,3.3
Unibic Snappers Potato Crackers Indi Spice,486,7.1,65,13.8,15.8,22,10.2,0,0,999,,5.5,3.5
Unibic Snappers Potato Crackers Achari Mango,487,7.3,65.5,9,11,21.8,10.5,0,0,998,,6.5,3.2
Unibic Wholegrain Snappers Ragi Crackers Mast Masala,469,8.4,66.9,9,10,18.6,9.2,0,0,775,,7.1,1.8
Unibic Sugar free Oats Cookies,418.9,6.2,56,0,0.5,24.5,13.9,0,19,185,6.2,7.8,1.1
Unibic Sugar Free Cashew Cookies ,446.7,8.1,62,0,0.5,24.7,14.1,0,23.7,125,,8.1,1.4
Unibic Sugar Free Multigrain Cookies ,463,6,65,0,0.5,19.9,11.6,0,2.8,250,,5.7,1.7
Unibic Sugar Free Butter Cookies ,444.4,6.3,65,0,0.5,22.8,14.6,0,49,85,,6.2,0.85
Unibic Oats Digestive,486,8.2,64,17,18,22,12.1,0,0,480,6.5,6.2,2.1
Unibic Danish Coconut Cookies,532,6.5,60.3,34.2,34.7,29.4,20.2,0,0.5,165.6,3.6,6.04,1.5
Unibic Biscott Caramel & Cinnamon Flavour,479,6,71,29.2,30,18,10.5,0,0,240,,5.1,1.4
Unibic Milk Cookies ,463,7.8,72,24.6,26.5,16,9.8,0,0,230,,4.5,1.2
Unibic Choco Ripple Cookies,482,5.5,68,,34,21,10.1,0,0,,,7.8,2.2
Unibic Orange Splash ,490,6,67,,27.5,22,10.6,0,0,,,8,2.2
Unibic Big & Bold Choco Blast,497,5.6,67,28.5,30,23,13.5,0,0,230,,5.8,2.5
Unibic Big & Bold Fruit Blast,458,6.4,63,21.5,25,20,9,0,0,209,,4.5,1.2
Unibic Kesar Cashew Badam Cookies ,497,5.5,66,,26,23.5,10.5,0,0,,,8.5,2.1